,Filial,Servico,CEP
33626,J3 FLEX SP,AVULSO,01102-010
33627,J3 FLEX SP,AVULSO,01102-020
33628,J3 FLEX SP,AVULSO,01102-030
33629,J3 FLEX SP,AVULSO,01102-040
33630,J3 FLEX SP,AVULSO,01102-050
33631,J3 FLEX SP,AVULSO,01103-000
33632,J3 FLEX SP,AVULSO,01103-010
33633,J3 FLEX SP,AVULSO,01103-020
33634,J3 FLEX SP,AVULSO,01103-030
33635,J3 FLEX SP,AVULSO,01103-040
33636,J3 FLEX SP,AVULSO,01103-050
33637,J3 FLEX SP,AVULSO,01103-060
33638,J3 FLEX SP,AVULSO,01103-070
33639,J3 FLEX SP,AVULSO,01103-080
33640,J3 FLEX SP,AVULSO,01103-090
33641,J3 FLEX SP,AVULSO,01103-100
33642,J3 FLEX SP,AVULSO,01103-110
33643,J3 FLEX SP,AVULSO,01103-200
33644,J3 FLEX SP,AVULSO,01103-201
33645,J3 FLEX SP,AVULSO,01104-000
33646,J3 FLEX SP,AVULSO,01104-001
33647,J3 FLEX SP,AVULSO,01104-010
33648,J3 FLEX SP,AVULSO,01105-000
33649,J3 FLEX SP,AVULSO,01105-010
33650,J3 FLEX SP,AVULSO,01105-020
33651,J3 FLEX SP,AVULSO,01105-030
33652,J3 FLEX SP,AVULSO,01105-040
33653,J3 FLEX SP,AVULSO,01105-050
33654,J3 FLEX SP,AVULSO,01106-000
33655,J3 FLEX SP,AVULSO,01106-010
33656,J3 FLEX SP,AVULSO,01106-020
33657,J3 FLEX SP,AVULSO,01106-030
33658,J3 FLEX SP,AVULSO,01106-040
33659,J3 FLEX SP,AVULSO,01106-050
33660,J3 FLEX SP,AVULSO,01106-060
33661,J3 FLEX SP,AVULSO,01106-070
33662,J3 FLEX SP,AVULSO,01106-080
33663,J3 FLEX SP,AVULSO,01106-090
33664,J3 FLEX SP,AVULSO,01106-100
33665,J3 FLEX SP,AVULSO,01106-110
33666,J3 FLEX SP,AVULSO,01106-120
33667,J3 FLEX SP,AVULSO,01106-130
33668,J3 FLEX SP,AVULSO,01107-000
33669,J3 FLEX SP,AVULSO,01107-010
33670,J3 FLEX SP,AVULSO,01107-020
33671,J3 FLEX SP,AVULSO,01107-030
33672,J3 FLEX SP,AVULSO,01107-040
33673,J3 FLEX SP,AVULSO,01107-050
33674,J3 FLEX SP,AVULSO,01107-060
33675,J3 FLEX SP,AVULSO,01107-900
33676,J3 FLEX SP,AVULSO,01107-901
33677,J3 FLEX SP,AVULSO,01107-902
33678,J3 FLEX SP,AVULSO,01108-000
